V1,V10,V56,V59,Class
0.017824357,0.583384908,2,2,1
0.022854021,0.584368583,3,3,3
0.155880813,0.643988857,4,4,2
0.18135617,0.6320536,4,4,2
0.179305107,0.647542383,4,4,4
0.080192742,0.637272542,4,4,4
0.090908111,0.495531793,4,4,4
0.085746907,0.603800265,2,2,4
0.007088868,0.398060521,2,2,2
0.009012938,0.52445184,2,2,2
0.028662172,0.499821709,4,4,4
0.024044884,0.614009993,4,4,2
0.021077311,0.647771908,4,4,4
0.023136761,0.57062309,4,4,4
0.016807458,0.573787245,4,4,4
0.003536646,0.539674212,4,4,4
0.002887303,0.394867675,2,2,4
0.013401998,0.555535973,2,2,2
0.020480083,0.551448257,2,2,1
0.015428501,0.558605859,4,4,4
0.015081066,0.574407506,2,2,4
0.011992491,0.589332044,2,4,4
0.008834428,0.593039952,2,4,4
0.005156412,0.569222719,2,4,4
0.000234818,0.525525685,4,4,4
0.084084012,0.610927811,2,2,2
0.059394577,0.616895439,1,2,2
0.001389739,0.414889562,2,2,2
0.006095684,0.532737937,4,4,2
0.017208805,0.587169324,4,4,4
0.019545004,0.586805911,4,4,4
0.010820797,0.605777179,4,4,4
0.001097415,0.631901949,4,4,4
0,0.168951662,2,2,2
2.04E-05,0.219359546,2,2,2
1.32E-05,0.238399123,3,4,4
0.03063656,0.498291548,2,2,2
0.024406695,0.49746772,4,2,4
0.018185741,0.505909565,2,4,2
0.016892519,0.512032942,4,4,4
0.003517617,0.443901146,4,4,4
0.003187099,0.387962822,2,2,4
0.003301829,0.436161536,2,2,2
0.000685285,0.458654906,1,2,1
0.000317484,0.265145693,2,2,2
0.000128192,0.302132901,4,4,4
0.000660126,0.325127844,4,4,4
0.001380155,0.344209774,4,4,4
0.000615798,0.300550994,4,4,4
0.000507375,0.257789819,2,2,4
0.001559862,0.418805135,1,2,2
0.000419318,0.240850968,1,1,2
5.63E-05,0.235792896,1,2,2
8.39E-05,0.255834764,2,2,2
0.000179708,0.264335357,4,4,4
0.000237214,0.263145383,4,4,4
0.000244402,0.229782403,4,4,4
0.002560834,0.212911008,2,2,2
0.001059676,0.215206251,1,2,4
0.000582253,0.273629635,1,2,2
0.000831447,0.304846461,1,2,2
0.00060861,0.332419335,2,2,4
0.000439685,0.335777493,2,2,4
0.000403743,0.282454105,2,4,4
0.00031988,0.231742922,2,2,4
0.006095684,0.311868723,2,2,1
0.00595671,0.400880389,4,2,4
0.000709845,0.281366683,1,2,2
0.000159341,0.182392404,1,2,2
6.95E-05,0.160720214,2,2,2
3.59E-05,0.1860922,4,4,4
0,0.171526978,4,4,4
0,0.145564787,4,4,4
0.003306621,0.401973361,2,2,1
0.006670748,0.446216881,2,2,2
0.003016693,0.363602776,4,4,4
0.009256142,0.412332433,4,4,4
0.011738504,0.548051845,4,4,2
0.01027808,0.469407021,4,4,4
0.004928183,0.532921009,4,4,4
0.001146535,0.388841299,4,4,4
0.001160912,0.186293034,2,2,4
8.13E-05,0.106892693,1,1,1
1.20E-05,0.154852319,2,2,2
0.003211975,0.324834449,2,2,2
0.000924296,0.221980971,4,4,4
0.00065773,0.221892509,4,4,4
0.001299885,0.220813199,4,4,4
0.002039682,0.19747824,4,4,4
0.000243204,0.218867708,4,4,4
0.013121055,0.495859684,2,2,2
0.005829716,0.490941309,2,2,1
0.01442094,0.493083535,2,2,2
0.000515162,0.13817339,2,2,2
0.002676446,0.183599028,4,4,4
0.007715448,0.278697013,4,4,4
0.004681983,0.368525676,4,4,2
0.002736349,0.260281795,4,4,4
0.006340086,0.220789973,2,2,4
0.005367269,0.327957276,2,1,1
0.011122705,0.330230658,4,2,2
0.007303319,0.357699701,2,2,4
0.010002528,0.331972668,2,2,1
0.009345996,0.360019619,4,4,4
0.010299045,0.44280954,4,4,4
0.00402665,0.427513392,4,4,4
0.0003073,0.298470249,4,4,4
0,0.191584386,2,2,4
0,0.10151527,1,1,1
0,0.12359331,2,2,2
0.002904675,0.220880997,4,2,2
0.001013851,0.372264154,4,4,4
0.001496366,0.32538879,2,2,4
0.001703029,0.328326154,2,4,4
0.000345039,0.300423937,4,4,4
1.32E-05,0.198370378,4,4,4
0,0.123992245,2,2,4
0.005818934,0.248913517,2,2,2
0.007160751,0.291823611,1,1,1
0.00065773,0.209191829,2,2,4
0.000728415,0.18546135,4,4,4
0.000530737,0.206828618,2,4,2
0.000234219,0.195008122,4,4,4
0.000172519,0.190969589,4,4,4
0.000343242,0.193084491,4,4,4
0.002509617,0.335170893,2,2,2
0.000514862,0.25706709,2,2,2
0.010541052,0.497975952,2,2,2
0.012833522,0.584032494,2,2,2
0.015039134,0.58419644,4,4,4
0.006889991,0.537706862,2,4,2
0.003174236,0.488281287,4,4,4
0.001213626,0.307129322,4,4,4
0.003908042,0.450304598,2,2,2
0.001612577,0.506658251,1,1,1
0.000148558,0.254855529,2,2,2
0,0.242384032,4,4,4
0,0.240982636,4,4,4
0,0.263482838,4,4,4
0,0.265804038,4,4,4
0,0.278664224,4,4,4
0.012653515,0.567034042,2,2,2
0.007971532,0.591341747,1,2,4
0.000335454,0.342021609,1,2,2
0.000535529,0.329864,2,2,2
0.00784963,0.319488106,4,4,4
0.009155506,0.38776882,4,4,4
0.01171634,0.49403442,4,4,4
0.006950493,0.516145251,2,2,4
0.004065597,0.575056459,2,2,2
0.007294333,0.627576512,2,2,2
0.006343081,0.576310645,2,2,2
0.001556268,0.56569925,2,4,2
0.000888954,0.496093307,4,4,4
0.001391536,0.458764203,4,4,4
0.000121003,0.491177664,4,4,4
0,0.237232375,4,4,4
0.076900498,0.649312998,4,2,2
0.210632324,0.669642284,2,2,2
0.023099846,0.597361292,2,2,4
0.00580236,0.617309403,2,2,4
0.002636796,0.559921524,2,2,2
0.010910384,0.473192804,4,2,4
0.00999827,0.504248247,4,4,4
0.015614066,0.569187197,4,4,4
0.069385929,0.70415835,2,2,2
0.082028681,0.710213417,4,2,4
0.128455029,0.673108372,2,4,2
0.216195493,0.67957467,4,4,2
0.216627091,0.686852499,4,4,4
0.191084831,0.692206697,4,4,4
0.134481376,0.698448936,4,4,4
0.050756629,0.716924267,2,2,2
0.044457277,0.695676885,2,2,2
0.024778091,0.602936817,2,2,2
0.024080825,0.587118775,2,2,4
0.014327492,0.517863949,2,2,4
0.029360318,0.582371176,2,2,4
0.025920133,0.553146462,4,4,4
0.019309577,0.538195967,4,2,4
0.002640504,0.523096554,2,2,2
0.002848965,0.542004976,2,2,2
0.024783276,0.723549045,2,2,2
0.02451714,0.548886603,4,4,4
0.02745508,0.517909035,2,2,2
0.015186649,0.518303871,4,4,4
0.008434666,0.539492505,4,4,4
0.004962287,0.526607728,2,2,4
0.004360906,0.557739678,2,2,4
0.024115569,0.579969369,2,2,4
0.032342585,0.517522396,4,4,4
0.022160349,0.571908699,2,4,4
0.02229513,0.613262673,4,4,4
0.018104348,0.65508116,2,2,4
0.02446847,0.622644474,2,2,2
0.024575957,0.498570255,2,2,4
0.065260235,0.632814581,2,2,2
0.053001777,0.697642868,2,2,2
0.048405548,0.647920825,2,2,4
0.031375084,0.662964223,2,2,2
0.019686374,0.58537685,4,4,4
0.016748753,0.542640266,4,4,4
0.010837569,0.388879553,4,4,4
0.003208381,0.155835994,2,2,2
0.011657036,0.250159506,2,2,1
0.012593912,0.299146525,4,4,3
0.020855934,0.304473484,2,2,2
0.020318945,0.309832977,2,2,4
0.020410577,0.314952271,2,2,2
0.028703823,0.299882915,3,4,4
0.024622344,0.315938678,4,4,4
0.015339845,0.306050012,2,2,4
0.001293895,0.168951662,1,2,1
0.008343227,0.242268245,2,2,2
0.005875242,0.322524263,2,4,4
0.003459971,0.342237899,2,4,4
0.002149304,0.283607191,4,4,4
0.002551849,0.271641877,2,4,4
0.002379329,0.279561827,4,4,4
0.001097415,0.270860402,4,4,4
1.32E-05,0.209901236,2,2,4
0.000805833,0.230682739,1,1,1
0.000112528,0.239973004,2,2,2
0.001195655,0.182470107,2,4,4
0.000809882,0.2233997,2,2,4
0.002893892,0.178709172,4,4,4
0.005038403,0.270568031,2,4,4
0.004846116,0.331527197,4,4,4
0.00506536,0.258270726,2,2,4
0.001628151,0.15284125,1,1,1
0.00128491,0.221305036,2,2,2
0.001588615,0.269200706,4,4,4
0.006320453,0.26173246,2,2,2
0.014141535,0.392601124,4,4,4
0.010448082,0.440144054,4,4,4
0.001351793,0.498332534,2,2,4
0.000249195,0.307947685,4,4,4
0.000148558,0.20919217,2,2,4
0,0.088137288,1,2,1
0,0.111461318,2,2,2
0.000715836,0.220502555,2,2,2
0.0002456,0.159232918,4,4,4
0.000118008,0.158278787,4,4,4
4.88E-05,0.176937191,4,4,4
4.88E-05,0.1726705,4,4,4
4.88E-05,0.162276333,4,4,4
6.89E-05,0.128334078,4,4,4
0.000166529,0.287254986,2,2,2
0.000189292,0.108816324,1,2,2
0.000161737,0.110521361,1,1,1
3.59E-05,0.19260068,2,2,2
0,0.147525476,4,4,4
0,0.154054449,4,4,4
0,0.190580218,4,4,4
0,0.197364844,4,4,4
0,0.171763333,4,4,4
0,0.158539734,4,4,4
0.006573706,0.343914672,2,2,2
0.003161207,0.353904439,2,2,1
0.001070983,0.259296754,2,2,4
0.000138375,0.128207788,1,1,1
7.67E-05,0.153090499,4,4,4
6.92E-05,0.156341494,4,4,4
3.58E-05,0.168487148,4,4,4
3.58E-05,0.173252508,4,4,4
0,0.145478715,4,4,4
0,0.10119011,4,4,4
0,0.244017001,2,2,2
0,0.325093688,2,2,2
0,0.310229264,2,2,2
0.000429501,0.186089212,4,2,2
9.69E-05,0.307954772,4,4,4
1.29E-05,0.254606536,4,4,4
0,0.19550679,4,4,4
0,0.165538856,4,4,4
0,0.140389562,4,4,4
0,0.088474743,2,2,4
0.001051889,0.337772167,1,2,2
0.00182583,0.392442643,2,2,2
0,0.313049987,2,2,4
0,0.378514589,2,2,4
0,0.35537312,2,2,2
3.33E-05,0.405245447,4,4,4
0.000254586,0.402360001,4,4,4
0.000250692,0.424746806,4,4,4
0.000163235,0.346346535,2,2,4
0.025840762,0.679173002,4,2,1
0.011758555,0.660942224,4,4,4
0.009102792,0.391941242,2,2,2
0.031132554,0.490766433,2,4,4
0.046417288,0.60173728,2,4,4
0.05659593,0.661186777,2,2,2
0.012971907,0.665206182,2,2,4
0.000262373,0.192822177,2,2,1
8.63E-05,0.2053695,2,2,2
0.001765927,0.371568238,4,4,4
0.000820095,0.358776363,2,2,4
0.001061725,0.401859966,2,2,2
0.004070652,0.352867481,4,4,4
0.010444301,0.412501417,4,4,4
0.007756291,0.420127632,4,4,4
0.001479102,0.382073068,4,4,4
0.016876944,0.493892334,2,2,2
0.012388446,0.487902846,4,2,2
0.007169137,0.534638342,2,2,2
0.000210258,0.269954174,2,2,2
0.000215649,0.285497094,4,4,4
0.000250422,0.277108104,4,4,4
0.000715236,0.27078526,4,4,4
0.005523015,0.294062838,4,4,4
0.006019607,0.281712251,4,4,4
0.003767738,0.379587922,2,2,4
0.001599398,0.342340791,2,2,2
0.007556108,0.39410396,4,2,2
0.000999774,0.496339226,4,4,2
8.39E-05,0.332855158,4,4,4
0.000104829,0.215710384,4,4,4
9.70E-05,0.229630753,4,4,4
0.000354623,0.241393868,4,4,4
0.000174316,0.229517357,4,4,4
0.000120404,0.185999298,2,4,4
0.000110221,0.331476646,2,2,2
0.003673224,0.231491538,2,2,1
0.005204334,0.396268046,4,4,2
0.009176472,0.44186002,4,4,4
0.015831046,0.439417227,2,4,2
0.014598252,0.419829797,4,4,4
0.012113494,0.51625728,4,4,4
0.002307446,0.410684351,2,2,2
0.000531935,0.338393795,4,4,4
0.000100636,0.204548404,2,2,4
0.020235082,0.529457653,2,2,2
0.019669602,0.475377383,1,2,1
0.009162694,0.45237578,4,4,2
0.006996618,0.499922809,4,4,4
0.003292244,0.46399271,4,4,4
0.001864167,0.308865782,4,4,4
0.002904076,0.311647396,4,4,4
0.005750645,0.291691087,4,4,4
0.003828971,0.330553085,4,2,4
0.000177311,0.216146207,2,2,2
0.000100636,0.256389448,1,2,2
0.000416922,0.249110252,1,2,4
0.00765914,0.321684639,1,2,1
0.005819533,0.368060138,4,4,2
0.010290659,0.36526452,4,4,4
0.005812266,0.429103667,4,4,4
0.001550137,0.406592536,4,4,4
0.000615798,0.24471787,4,4,4
0.000656532,0.177482311,2,2,4
0.000910519,0.273549113,2,2,2
5.75E-05,0.428554448,2,2,4
0.006296956,0.369416448,1,2,2
0.014908547,0.46857363,2,2,4
0.052043336,0.494472976,4,4,4
0.077279082,0.567494457,2,2,2
0.045868581,0.607829234,4,4,4
0.023477008,0.535419818,4,4,4
0.001269335,0.269570694,2,2,2
0.00034414,0.261548277,1,2,2
2.58E-05,0.21245196,2,2,4
0.035366466,0.469370134,4,4,4
0.109803771,0.506926029,2,2,4
0.023606397,0.582674476,2,4,4
0.029357042,0.509263623,2,2,4
0.002817116,0.175072307,1,2,1
0.012645951,0.304961138,2,2,4
0.001147733,0.206867726,2,2,2
0.000817071,0.228837494,2,2,4
0.000876119,0.234131066,2,4,4
0.001036257,0.323585386,2,4,4
0.001346382,0.319024959,4,4,4
0.000552332,0.295370306,4,4,4
0.000105428,0.310359055,4,4,4
0,0.159399083,2,2,2
0.000309097,0.201828269,2,2,2
0.000982402,0.272193828,2,2,2
0.025828875,0.497171251,4,4,2
0.026089882,0.540386011,4,4,4
0.022131465,0.549454948,4,4,2
0.01840824,0.510162593,4,4,4
0.012220515,0.524796127,4,4,4
0.009140734,0.492743347,4,4,4
0.009399562,0.407768847,4,4,4
0.000312691,0.268193549,2,2,2
0.000123399,0.262663109,2,2,2
0.000149157,0.254203503,4,4,3
0.037889561,0.445976427,2,2,4
0.043906173,0.494852783,2,2,4
0.04806341,0.548005394,2,2,2
0.040551631,0.548140649,2,2,4
0.007346449,0.544300217,2,2,4
0.002666862,0.439592103,2,2,4
0.003713958,0.368233306,4,2,4
0.002959186,0.328132151,2,2,2
0.001015947,0.350232051,1,1,2
0.000298315,0.180624606,1,1,1
2.58E-05,0.246662933,4,4,4
1.29E-05,0.250505585,4,4,4
1.29E-05,0.24464546,4,4,4
4.88E-05,0.244967887,4,4,4
4.87E-05,0.265567683,4,4,4
1.29E-05,0.249290592,4,4,4
1.29E-05,0.215070995,4,2,4
0.075314279,0.543338402,2,2,2
0.046580223,0.541174317,1,1,1
5.63E-05,0.172737615,2,2,2
0,0.201561686,4,4,4
0,0.21410918,4,4,4
9.11E-05,0.221619266,4,4,4
0.000301909,0.222515503,4,4,4
0.000280344,0.228950378,4,4,4
1.32E-05,0.216979598,2,2,4
0.000531935,0.380900855,2,2,2
0.000575065,0.212932868,1,2,1
0.009940229,0.196407127,3,3,3
0.021766191,0.575414407,4,4,4
0.050941129,0.530986449,4,4,4
0.029079094,0.567618782,2,2,2
0.01609941,0.549990505,2,2,4
0.013051568,0.407492872,4,4,4
0.007651952,0.307895769,4,4,4
0.000210857,0.21340148,2,2,4
0,0.205522516,2,2,2
0,0.235142066,2,2,2
0,0.24959116,2,2,2
0.001188467,0.287353012,4,4,2
0.000673904,0.20419353,4,4,4
0.001055483,0.188724897,4,4,4
0.001271132,0.245821771,4,4,4
0.000767951,0.226060832,4,4,4
0.000783525,0.212747063,4,4,4
0.000561886,0.18946402,4,2,4
0.000160539,0.114543499,2,2,2
0.00079311,0.15362819,2,2,2
0.000303107,0.216583396,2,2,2
0,0.242209156,4,4,4
0,0.250582008,4,4,4
0,0.25373899,4,4,4
0,0.256855327,4,4,4
9.11E-05,0.276172247,4,4,4
0.000182104,0.273777271,4,4,4
0.000642155,0.246537669,2,2,4
0.003436609,0.407853553,2,2,2
0.000769935,0.402301253,1,1,1
0,0.202027224,4,4,4
0,0.224013387,4,4,4
0,0.208746784,4,4,4
4.79E-05,0.210188141,4,4,4
9.94E-05,0.206928352,4,4,4
9.94E-05,0.203220443,4,4,4
6.35E-05,0.171699121,2,4,4
0.002345784,0.294577901,2,2,2
0.00545832,0.341116662,2,2,4
0.00721646,0.335039736,2,2,2
0,0.283221748,1,2,1
0,0.19009265,4,4,4
0,0.204134441,4,4,4
0,0.218568507,4,4,4
0,0.222806507,4,4,4
0,0.211072083,4,4,4
0,0.17982537,2,2,4
0,0.173410989,2,2,2
0,0.21682385,2,2,2
1.20E-05,0.235819708,2,2,4
0.007142181,0.3163558,2,2,2
0.005503846,0.333286456,2,4,2
0.002804937,0.338350076,4,4,4
0.000516959,0.254364717,4,4,4
0.00015335,0.227198889,4,4,4
0.000175514,0.169782321,4,4,4
0.000140771,0.163258642,2,2,4
0.001404116,0.223928169,2,1,1
0.003217965,0.178023332,2,2,2
0.002835787,0.273374238,2,2,2
0,0.235539122,4,4,2
0,0.247654379,4,4,4
0,0.266696177,4,4,4
2.58E-05,0.253364647,4,4,4
0.000226432,0.250647244,4,4,4
2.63E-05,0.289934135,4,4,4
0,0.217312954,2,2,4
0.00167847,0.14652387,2,1,2
0,0.090148357,2,2,2
0,0.075524387,4,4,2
0.000733207,0.190853376,4,4,4
0.001283712,0.298818719,4,4,2
0.004388461,0.243904971,4,4,4
0.00563054,0.212368621,4,4,4
0.004401639,0.299682082,4,4,4
0.001106999,0.27640587,4,4,4
0.000622987,0.218987935,2,2,4
0.008067675,0.470677602,2,2,1
0.009566437,0.41347143,2,2,2
0.007811293,0.420051124,4,4,2
0,0.128277038,4,4,4
8.39E-05,0.12689921,2,2,2
0.001239983,0.131066509,4,4,4
0.002629722,0.193264831,4,4,4
0.000186896,0.268040533,4,4,4
2.75E-05,0.207933886,4,4,4
1.20E-05,0.100534327,2,2,4
0.086087154,0.515052278,4,2,4
0.085588764,0.536955444,1,2,2
0.013327035,0.447716986,2,2,2
0.01991245,0.404039079,4,4,4
0.0185721,0.429661083,4,4,2
0.019025009,0.465547463,4,4,4
0.01931378,0.406797468,4,4,4
0.002998123,0.410204809,4,4,4
0.000207862,0.233949359,2,4,4
0.078755081,0.608676287,2,2,2
0.043120252,0.627234957,2,2,2
0.026385876,0.608676287,4,4,4
0.061148523,0.507191075,2,4,4
0.022336463,0.556798356,2,4,2
0.01335108,0.542420305,4,4,4
0.021531373,0.4169949,2,2,2
0.012153029,0.399089281,4,4,4
0.016322247,0.298175146,4,4,4
0.003426426,0.365558256,2,2,4
0.00642549,0.403175631,2,2,1
0.003089501,0.429079075,2,4,2
0.001059447,0.421996615,4,4,3
0.035184362,0.516619327,2,2,2
0.056974402,0.596519703,2,2,4
0.055437508,0.607983616,2,2,2
0.064368323,0.612764004,2,2,4
0.036134155,0.620443501,2,4,4
0.020913178,0.606616035,4,4,4
0.066841662,0.597564857,2,2,4
0.015677695,0.492886799,2,2,1
0.013626632,0.583516065,4,4,2
0.009680252,0.620677124,4,2,2
0.000438487,0.353223124,4,4,2
0.000351029,0.386736901,4,4,4
0.00366364,0.388774354,4,4,4
0.020787383,0.43200141,4,4,4
0.001708421,0.583242822,4,4,4
0.000105428,0.448314022,4,4,4
2.81E-05,0.27344938,2,2,4
0.006256222,0.354975552,2,2,2
0.002799633,0.379173959,1,2,2
0.001345754,0.380878996,2,2,1
0.001329837,0.442588213,4,4,4
0.000618194,0.359050972,4,4,4
0.00051636,0.324413313,4,4,4
0.000631373,0.310330365,4,4,4
0.000621789,0.304767136,4,4,4
0.000656532,0.291793554,4,4,4
0.000439086,0.24251553,2,2,4
2.07E-05,0.325749472,2,2,1
0,0.35703034,2,2,2
0,0.300764124,4,4,2
0.000869785,0.513554906,4,4,4
0.000105428,0.459697328,4,4,4
5.63E-05,0.385707201,4,4,4
4.79E-05,0.412325176,4,4,4
7.67E-05,0.437805093,4,4,4
0,0.40638897,4,4,4
0,0.328118489,2,2,4
0,0.256170853,2,1,1
0,0.276718733,2,2,2
0,0.303496555,2,2,4
0,0.306251358,2,2,2
2.04E-05,0.332493965,2,2,2
4.31E-05,0.413653137,4,4,4
0,0.350822256,4,4,4
0,0.329716961,4,4,4
0,0.328345281,4,4,4
0,0.292207517,2,2,4
0.001134289,0.41504531,2,2,2
0.000560688,0.45378025,1,2,2
0.000318681,0.460032051,1,1,1
0,0.335529012,2,2,4
0.00525585,0.362788767,4,4,4
0.012636443,0.391098287,4,4,4
0.012574144,0.468923381,4,4,4
0.007356033,0.409591378,4,4,4
0.000950054,0.391394756,4,4,4
0.000253987,0.364894276,2,2,4
0,0.278314472,2,2,1
0,0.317705195,2,4,2
5.51E-05,0.341794305,4,4,3
0.002621336,0.455225706,1,2,4
0.001313064,0.52680173,1,2,2
0.002733952,0.534668399,2,2,2
0.016444448,0.600312317,2,4,4
0.024028111,0.645505356,4,4,4
0.000856607,0.66903705,4,4,4
0.00015335,0.466801649,2,2,4
7.47E-06,0.376594544,2,2,2
0.000131186,0.369446505,1,2,4
0.000456458,0.368156798,1,1,1
0,0.328813125,4,4,4
0,0.338391831,4,4,4
0.000231224,0.341303834,4,4,4
0.002763904,0.345360127,4,4,4
0.003645669,0.403469367,4,4,4
0.000769748,0.398108338,4,4,4
0.000146162,0.380165831,2,2,4
0,0.231382241,1,1,1
0,0.261329683,2,2,2
0,0.288632131,2,4,4
0.000415125,0.373244584,2,2,2
0.003630694,0.35814927,4,4,4
0.001657504,0.47373929,4,4,4
0.000922499,0.387557056,4,4,4
5.60E-05,0.344335466,4,4,4
2.03E-05,0.303683727,4,4,4
